affiliation,category,instructors,nanodegree,skill_level,skills,summary,title,url
Collaboration WithGoogle,School of Development,"['Dan Galpin', 'Lyla Fujiwara', 'Reto Meier', 'Asser Samak', 'James Williams', 'Cezanne Camacho', 'Jose Nieto', 'Jocelyn Becker']",Android Developer,intermediate,"['Android, ', 'Layouts, ', 'Intents, ', 'UI']","As the first course in the Android Developer Nanodegree,  Developing Android Apps is the foundation of our advanced Android curriculum. This course blends theory and practice to help you build great apps the right way. In this course, you'll work with instructors step-by-step to build a cloud-connected Android app, and learn best practices of mobile development, and Android development in particular.",Developing Android Apps,https://www.udacity.com/course/new-android-fundamentals--ud851
Collaboration WithGoogle,School of Development,"['Katherine Kuan', 'Kunal Chawla']",Android Basics,beginner,"['XML Markup Language, ', 'Building Layouts, ', 'Android Studio, ', 'Views and ViewGroups, ', 'Styling']","Learn the basics of Android and Java programming, and take the first step on your journey to becoming an Android developer!, This course is designed for students who are new to programming, and want to learn how to build Android apps. You don’t need any programming experience to take this course. If you’ve been using a smartphone to surf the web and chat with friends, then you’re our perfect target student!, Learning anything new can be tough. We will walk you through the process of making Android apps, but to get the most out of this course, you must bring your enthusiasm for learning, and budget time on your calendar to learn with us., By the end of this course, you will have learned how to build an app’s layout and then practiced those skills by making a birthday card app., If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: ",Android Basics: User Interface,https://www.udacity.com/course/android-basics-user-interface--ud834
,School of Development,['Dave Evans'],Data Analyst,beginner,"['Python, ', 'Managing Data, ', 'Responding to Queries, ', 'How programs run']","In this introduction to computer programming course, you’ll learn and practice key computer science concepts by building your own versions of popular web applications. You’ll learn Python, a powerful, easy-to-learn, and widely used programming language, and you’ll explore computer science basics, as you build your own search engine and social network.",Intro to Computer Science,https://www.udacity.com/course/intro-to-computer-science--cs101
Collaboration WithGoogle,School of Artificial Intelligence,"['Vincent Vanhoucke', 'Arpan Chakraborty']",Deep Learning,intermediate,"['Neural Networks, ', 'Convolutional Neural Networks, ', 'Computer Vision, ', 'Natural Language Processing, ', 'TensorFlow']","Machine learning is one of the fastest-growing and most exciting fields out there, and deep learning represents its true bleeding edge. In this course, you’ll get an overview of what deep learning is all about., Partnering with Vincent Vanhoucke, Principal Scientist at Google, and technical lead in the Google Brain team, we’ll teach you how deep learning builds on machine learning. Then you’ll get a chance to learn more about deep neural networks and advanced architectures such as convolutional networks and recurrent networks., And if you’d like to dive even deeper into this cutting-edge field, we recommend that you continue your studies with our full-fledged Deep Learning Nanodegree program to get more hands-on experience.",Deep Learning,https://www.udacity.com/course/deep-learning--ud730
,School of Development,"['Julia Van Cleve', 'James Parkes']",Front-End Web Developer,beginner,"['JavaScript, ', 'Conditionals, ', 'Loops, ', 'Data Types & Variables']","Learn the fundamentals of JavaScript, the most popular programming language in web development.",Intro to JavaScript,https://www.udacity.com/course/intro-to-javascript--ud803
,School of Artificial Intelligence,"['Katie Malone', 'Sebastian Thrun']",Machine Learning Engineer,intermediate,"['Machine Learning, ', 'Supervised Learning, ', 'Unsupervised Learning, ', 'Evaluation Metrics, ', 'Data Manipulation']","Machine Learning is a first-class ticket to the most exciting careers in data analysis today. As data sources proliferate along with the computing power to process them, going straight to the data is one of the most straightforward ways to quickly gain insights and make predictions.  , Machine learning brings together computer science and statistics to harness that predictive power. It’s a must-have skill for all aspiring data analysts and data scientists, or anyone else who wants to wrestle all that raw data into refined trends and predictions., This is a class that will teach you the end-to-end process of investigating data through a machine learning lens. It will teach you how to extract and identify useful features that best represent your data, a few of the most important machine learning algorithms, and how to evaluate the performance of your machine learning algorithms., This course is also a part of our Data Analyst Nanodegree.",Intro to Machine Learning,https://www.udacity.com/course/intro-to-machine-learning--ud120
,School of Development,"['Cameron Pittman', 'James Parkes']",Front-End Web Developer,beginner,"['HTML, ', 'CSS, ', 'CSS Syntax, ', 'HTML Syntax Problem Set']","Throughout this course, you'll learn about the underlying structure of the web - HTML. You'll learn how to use this tree-like structure to create websites. You'll also learn how to apply styling to a website through CSS. You'll learn about CSS syntax, selectors, and units. Along the way, you'll also learn about code editors and a browser's Developer Tools.",Intro to HTML and CSS,https://www.udacity.com/course/intro-to-html-and-css--ud001
,School of Development,"['Cezanne Camacho', 'Asser Samak']",Android Basics,beginner,"['Java Programming, ', 'Java Syntax, ', 'Java Functions, ', 'Loops']","Taking this course will provide you with a basic foundation in Java syntax, which is the first step towards becoming a successful Java developer. You’ll learn how computers make decisions and how Java keeps track of information through variables and data types. You’ll learn to create conditional statements, functions, and loops to process information and solve problems. You’ll even learn to use IntelliJ, a Java IDE (Integrated Development Environment) that professional developers use, to build, compile, and debug your code. These are foundational programming skills, and mastering them is a must for all aspiring programmers. This course is the first in our Java Programming course series. After you complete this course, you'll be ready to take Object Oriented Programming in Java.",Java Programming Basics,https://www.udacity.com/course/java-programming-basics--ud282
,School of Development,"['Caroline Buckey', 'Sarah Spikes']",Become an iOS Developer,beginner,"['GitHub, ', 'Version Control, ', 'Repositories']","Effective use of version control is an important and useful skill for any developer working on long-lived (or even medium-lived) projects, especially if more than one developer is involved. This course, built with input from GitHub, will introduce the basics of using version control by focusing on a particular version control system called Git and a collaboration platform called GitHub., This course is part of the  Front End and  Full Stack Nanodegrees..",How to Use Git and GitHub,https://www.udacity.com/course/how-to-use-git-and-github--ud775
,School of Development,['Kunal Chawla'],Full Stack Web Developer,beginner,"['Python, ', 'Functions, ', 'Classes, ', 'Create a Class']","In this introductory programming class, you’ll learn Object-Oriented Programming, a must-have technique for software engineers that will allow you to reuse and share code easily. You’ll learn by doing, and will build byte-sized (ha!) mini projects in each lesson to learn and practice programming concepts. , We’ve heard that programming can be intimidating for newcomers, and we’ve created this course to make sure that you have a great learning experience! You’ll learn actively with our mini projects (see the awesome list below), which you’ll be able to share proudly with your friends. You’ll also learn important programming concepts one by one, with no surprises or leaps of logic along the way. , You’ll pick up some great tools for your programming toolkit in this course! You will: , This introductory course is for you if you want to be a software engineer, or if you want to collaborate with programmers. Mastering Object-Oriented Programming will propel your career in tech forward, and it’s also a great way to learn how software engineers think about solving problems., This course is also a part of our Full Stack Web Developer Nanodegree.",Programming Foundations with Python,https://www.udacity.com/course/programming-foundations-with-python--ud036
,School of Artificial Intelligence,"['Peter Norvig', 'Sebastian Thrun']",Deep Learning,intermediate,"['Artificial Intelligence, ', 'Machine Learning, ', 'Probability, ', 'Logic and Planning, ', 'Markov models']","Artificial Intelligence (AI) is a field that has a long history but is still constantly and actively growing and changing. In this course, you’ll learn the basics of modern AI as well as some of the representative applications of AI. Along the way, we also hope to excite you about the numerous applications and huge possibilities in the field of AI, which continues to expand human capability beyond our imagination., Note: Parts of this course are featured in the Machine Learning Engineer Nanodegree and the Data Analyst Nanodegree programs. If you are interested in AI, be sure to check out those programs as well!",Intro to Artificial Intelligence,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
,School of Artificial Intelligence,"['Ronald Rogers', 'Katie Kormanik', 'Sean Laraway']",Artificial Intelligence,beginner,"['Descriptive Statistics, ', 'Estimation, ', 'Central Limit Theorem']","Statistics is an important field of math that is used to analyze, interpret, and predict outcomes from data. Descriptive statistics will teach you the basic concepts used to describe data. This is a great beginner course for those interested in Data Science, Economics, Psychology, Machine Learning, Sports analytics and just about any other field.",Intro to Descriptive Statistics,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827
Collaboration WithGoogle,School of Development,"['Mary Xia', 'Matt Sullivan', 'James Williams']",Android Developer,intermediate,,"In this course, you'll learn how to use Flutter to quickly develop high-quality, interactive mobile applications for iOS and Android devices. Whether you’re just getting started with mobile app development, or experienced with other mobile app frameworks, you’ll enjoy the high-velocity development and quality apps that Flutter enables. , Work with Google instructors step-by-step to build an app in one codebase that compiles down to native ARM code and has high performance on both iOS and Android. Learn how to develop fast by making use of Flutter's reactive framework, stateful Hot Reload, and integrated tooling. Customize your app with rich, composable widgets, built-in animations, and a layered, extensible architecture.",Build Native Mobile Apps with Flutter,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905
,School of Data Science,['Caroline Buckey'],Data Analyst,beginner,"['Data Analysis, ', 'Python, ', 'numpy, ', 'pandas']","This course will introduce you to the world of data analysis. You'll learn how to go through the entire data analysis process, which includes:, You'll also learn how to use the Python libraries NumPy, Pandas, and Matplotlib to write code that's cleaner, more concise, and runs faster., This course is part of the Data Analyst Nanodegree.",Intro to Data Analysis,https://www.udacity.com/course/intro-to-data-analysis--ud170
Collaboration WithGoogle,School of Development,"['Katherine Kuan', 'Kunal Chawla', 'Lyla Fujiwara']",Android Basics,beginner,"['Java, ', 'Object Oriented Programming, ', 'Conditional Code, ', 'Methods, ', 'Variables']","Learn the basics of Android and Java programming, and take the first step on your journey to becoming an Android developer!
This course is designed for students who are new to programming, and want to learn how to build Android apps. You don’t need any programming experience to take this course. If you’ve been using a smartphone to surf the web and chat with friends, then you’re our perfect target student!, Learning anything new can be tough. We will walk you through the process of making Android apps, but to get the most out of this course, you must bring your enthusiasm for learning, and budget time on your calendar to learn with us., By the end of this course, you will have learned how to make your app interactive using buttons and changing text. You will have practiced those skills by making a basketball scores app, and you will have built a full coffee-ordering app., If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: ",Android Basics: User Input,https://www.udacity.com/course/android-basics-user-input--ud836
,School of Business,"['Steve Blank', 'Kathleen Mullaney']",Business Analyst,intermediate,"['Entrepreneurship, ', 'Value Proposition, ', 'Revenue Models, ', 'Customer Segments']","In an introduction to the basics of the famous Customer Development Process, Steve Blank provides insight into the key steps needed to build a successful startup. , The main idea in this course is learning how to rapidly develop and test ideas by gathering massive amounts of customer and marketplace feedback. Many startups fail by not validating their ideas early on with real-life customers. In order to mitigate that, students will learn how to get out of the building and search for the real pain points and unmet needs of customers. Only with these can the entrepreneur find a proper solution and establish a suitable business model., Building a startup is not simply building an execution plan for a business model that the entrepreneur thinks will work, but rather, a search for the actual business model itself.",How to Build a Startup,https://www.udacity.com/course/how-to-build-a-startup--ep245
,School of Development,['Sebastian Thrun'],Artificial Intelligence,beginner,"['Probability, ', 'Descriptive Statistics, ', 'Inferential Statistics']","Statistics is about extracting meaning from data. In this class, we will introduce techniques for visualizing relationships in data and systematic techniques for understanding the relationships using mathematics.",Intro to Statistics,https://www.udacity.com/course/intro-to-statistics--st101
,School of Data Science,"['Dave Holtz', 'Cheng-Han Lee']",Data Analyst,intermediate,"['Data Analysis Process, ', 'pandas (Python package), ', 'MapReduce paradigm']","The Introduction to Data Science class will survey the foundational topics in data science, namely:, The class will focus on breadth and present the topics briefly instead of focusing on a single topic in depth. This will give you the opportunity to sample and apply the basic techniques of data science., This course is also a part of our Data Analyst Nanodegree.",Intro to Data Science,https://www.udacity.com/course/intro-to-data-science--ud359
Collaboration WithGoogle,School of Development,"['Lyla Fujiwara', 'Cezanne Camacho', 'Asser Samak', 'Nikita Gamolsky', 'Jessica Lin', 'Dan Galpin']",Android Developer,advanced,"['Android, ', 'Fragments, ', 'Libraries, ', 'Firebase, ', 'Espresso']","Ready to level-up your skills as an Android developer? In this course, you will learn how to make your app production-ready by developing a variety of different sample apps, each designed to showcase advanced capabilities of the Android platform, including fragments, widgets, media playback, and testing. You’ll learn how to create UI tests using the Espresso framework, to leverage third-party libraries and services like ExoPlayer and Firebase Cloud Messaging, and use Google APIs to make your app aware of its location. By the end of the course, you’ll know how to publish your own app to the Google Play Store, where you can reach and engage users across the globe.",Advanced Android App Development,https://www.udacity.com/course/advanced-android-app-development--ud855
Collaboration WithGoogle,School of Development,"['Katherine Kuan', 'Jessica Lin']",Android Basics,beginner,"['Intents and Activities, ', 'Data, ', 'Loops and Custom Classes, ', 'Images and Visual Polish, ', 'Audio and Libraries, ', 'Navigation Patterns Using Fragments']","This course is a part of the Android Basics Nanodegree by Google., Android apps are everywhere and learning to build them can be a fantastic career move. Continue on your Android app development education and learn to build multi-screen apps!, This course is designed for students who have completed the Android for Beginners course. You don’t need any programming experience besides that course!, Learning anything new can be tough. We will walk you through the process of making Android apps, but to get the most out of this course, bring your enthusiasm for learning, and budget time on your calendar to learn with us.  It will be an adventure!, By the end of the course, you’ll build a language-learning app that you can share with your friends. , If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: ",Android Basics: Multiscreen Apps,https://www.udacity.com/course/android-basics-multiscreen-apps--ud839
Collaboration WithGoogle,School of Development,"['Carter Morgan', 'Kelsey Hightower', 'Gundega Dekena']",Intro to Self-Driving Cars,intermediate,"['Microservices, ', 'Docker, ', 'Kubernetes, ', 'Deploying Microservices']","This course is designed to teach you about managing application containers, using Kubernetes. We've built this course in partnership with experts such as Kelsey Hightower and Carter Morgan from Google and Netflix’s former Cloud Architect, Adrian Cockcroft (current Technology Fellow at Battery Ventures), who provide critical learning throughout the course. , Mastering highly resilient and scalable infrastructure management is very important, because the modern expectation is that your favorite sites will be up 24/7, and that they will roll out new features frequently and without disruption of the service. Achieving this requires tools that allow you to ensure speed of development, infrastructure stability and ability to scale. Students with backgrounds in Operations or Development who are interested in managing container based infrastructure with Kubernetes are recommended to enroll!, In this course you will learn to:",Scalable Microservices with Kubernetes,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615
Collaboration WithGoogle,School of Development,"['Cameron Pittman', 'Pete LePage']",Mobile Web Specialist,intermediate,"['Responsive design patterns, ', 'Remote debugging and emulation, ', 'Optimizing layout, ', 'CSS media queries, ', 'CSS flexbox']","In this course you'll learn the fundamentals of responsive web design with Google's Pete LePage! You'll create your own responsive web page that works well on any device - phone, tablet, desktop or anything in between., You’ll start by exploring what makes a site responsive and how some common responsive design patterns work across different devices.  From there, you’ll learn how to create your own responsive layout using the viewport tag and CSS media queries.  As you proceed, you’ll experiment with major and minor breakpoints, and optimizing text for reading.",Responsive Web Design Fundamentals,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893
,School of Development,"['Philip Mallory', 'Karl Krueger']",Full Stack Web Developer,beginner,"['Command line interface (Linux server), ', 'Terminal and Shell (GNU Bash), ', 'Linux filesystem, ', 'Shell commands']","We have built this course for beginners who have no experience with the Linux system and the command-line interface., In this course, you'll learn the basics of the command line interface of a Linux server: the terminal and shell (GNU Bash). This course includes an introduction to files and directories in the Linux filesystem.",Linux Command Line Basics,https://www.udacity.com/course/linux-command-line-basics--ud595
Collaboration WithGeorgia Institute of Technology,School of Artificial Intelligence,"['Aaron Bobick', 'Irfan Essa', 'Arpan Chakraborty']",Deep Learning,intermediate,"['Image Processing, ', 'Stereo Geometry, ', 'Feature Detection & Matching, ', 'Object Tracking, ', 'Classification & Recognition']","This course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification. We’ll develop basic methods for applications that include finding known models in images, depth recovery from stereo, camera calibration, image stabilization, automated alignment (e.g. panoramas), tracking, and action recognition.  We focus less on the machine learning aspect of CV as that is really classification theory best learned in an ML course., The focus of the course is to develop the intuitions and mathematics of the methods in lecture, and then to learn about the difference between theory and practice in the problem sets. All algorithms work perfectly in the slides. But remember what Yogi Berra said: In theory there is no difference between theory and practice. In practice there is. (Einstein said something similar but who knows more about real life?) In this course you do not, for the most part, apply high-level library functions but use low to mid level algorithms to analyze images and extract structural information.",Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810
Collaboration WithGeorgia Institute of Technology,School of Artificial Intelligence,"['Michael Littman', 'Charles Isbell', 'Pushkar Kolhe']",Artificial Intelligence,intermediate,"['Supervised Learning, ', 'Unsupervised Learning, ', 'Information Theory, ', 'Reinforcement Learning, ', 'Game Theory']","This class is offered as CS7641 at Georgia Tech where it is a part of the Online Masters Degree (OMS). Taking this course here will not earn credit towards the OMS degree., Machine Learning is a graduate-level course covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences. , The first part of the course covers Supervised Learning, a machine learning task that makes it possible for your phone to recognize your voice, your email to filter spam, and for computers to learn a bunch of other cool stuff., In part two, you will learn about Unsupervised Learning. Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? Such answers can be found in this section!, Finally, can we program machines to learn like humans? This Reinforcement Learning section will teach you the algorithms for designing self-learning agents like us!",Machine Learning,https://www.udacity.com/course/machine-learning--ud262
,School of Development,['Catherine Gamboa'],Self-Driving Car Engineer,intermediate,"['Pointers and Arrays, ', 'Control Flow, ', 'Object Oriented Programming, ', 'C++ Templates, ', 'C++ Standard Library']","C++ for Programmers is designed for students who are familiar with a programming language and wish to learn C++., This course focuses on 'how' as opposed to 'what'. For example, in the lesson on functions, we do not teach what a function is, but rather how to create a function in C++.
The lessons are taught by several different instructors who have used C++ in their professional careers, so students get to experience different perspectives. , The course also includes comments and tips from Bjarne Stroustrup - the original designer of C++.",C++ For Programmers,https://www.udacity.com/course/c-for-programmers--ud210
Collaboration WithGeorgia Institute of Technology,School of Artificial Intelligence,"['Tucker Balch', 'Arpan Chakraborty']",Flying Cars & Autonomous Flight,intermediate,"['Pandas, ', 'Time Series Analysis, ', 'Computational Investing, ', 'Algorithmic Trading, ', 'Reinforcement Learning for Trading']","This course introduces students to the real world challenges of implementing machine learning based trading strategies including the algorithmic steps from information gathering to market orders. The focus is on how to apply probabilistic machine learning approaches to trading decisions. We consider statistical approaches like linear regression, KNN and regression trees and how to apply them to actual stock trading situations.",Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501
,School of Development,['Michael Littman'],Full Stack Web Developer,intermediate,"['Algorithms, ', 'Social Networks, ', 'Graph Algorithms']","Ever played the Kevin Bacon game? This class will show you how it works by giving you an introduction to the design and analysis of algorithms, enabling you to discover how individuals are connected. ",Intro to Algorithms,https://www.udacity.com/course/intro-to-algorithms--cs215
Collaboration WithMode,School of Data Science,['Derek Steer'],Data Analyst,beginner,,"In this course, you’ll learn to use Structured Query Language (SQL) to extract and analyze data stored in databases. You’ll first learn to extract data, join tables together, and perform aggregations. Then you’ll learn to do more complex analysis and manipulations using subqueries, temp tables, and window functions. By the end of the course, you’ll be able to write efficient SQL queries to successfully handle a variety of data analysis tasks.",SQL for Data Analysis,https://www.udacity.com/course/sql-for-data-analysis--ud198
Collaboration WithGoogle,School of Development,"['Katherine Kuan', 'Jessica Lin']",Android Basics,beginner,"['SQLite, ', 'ContentProvider, ', 'CursorAdapter & CursorLoader, ', 'Database, ', 'Design']","In this course, you will learn about the importance of data persistence when building an Android app. We'll introduce you to the fundamentals of SQL, the programming language needed to interact with an SQLite relational database. SQLite is a commonly used method to store large sets of data locally on an Android device. , You'll also learn how to work with Content Providers, which help your data storage to be bug free and to be shared, if you choose, with other apps., If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: ",Android Basics: Data Storage,https://www.udacity.com/course/android-basics-data-storage--ud845
Collaboration WithGoogle,School of Development,"['Nazmul Idris', 'Izabel Grey', 'Andy Brown']",Android Developer,beginner,"['Android, ', 'UX Design, ', 'User-Centered Design']","This course is optimized for the developer who is looking to efficiently learn the most important design techniques that will help them make better apps (with a focus on mobile/Android). , This is a UX design course built for current (and aspiring) mobile developers. In this short course, you'll step back from your IDE and dive into the techniques that great designers use to plan and prototype amazing apps before any code is written.",UX Design for Mobile Developers,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849
,School of Data Science,"['Ronald Rogers', 'Katie Kormanik', 'Sean Laraway']",Artificial Intelligence,beginner,"['Inferential Statistics, ', 'Hypothesis Testing, ', 'T-tests, ', 'ANOVA']","Inferential statistics allows us to draw conclusions from data that might not be immediately obvious. This course focuses on enhancing your ability to develop hypotheses and use common tests such as t-tests, ANOVA tests, and regression to validate your claims.",Intro to Inferential Statistics,https://www.udacity.com/course/intro-to-inferential-statistics--ud201
Collaboration WithGoogle,School of Development,"['Chris Lei', 'Joe Lewis']",Android Basics,beginner,"['JSON Parsing, ', 'HTTP Networking, ', 'Threads and Parallelism, ', 'Control Flow and Conditionals, ', 'Preferences']","This course is a part of the Android Basics Nanodegree by Google., Android apps are everywhere and learning to build them can be a fantastic career move. Continue on your Android app development education and learn to build multi-screen apps!, This course is designed for students who have completed the Android for Beginners course and the Android Basics: Multiscreen Apps course. You don’t need any programming experience besides that course!, Learning anything new can be tough. We will walk you through the process of making Android apps, but to get the most out of this course, bring your enthusiasm for learning, and budget time on your calendar to learn with us. It will be an adventure!, By the end of the course, you’ll build an app that gets you up to date earthquake information!, If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: ",Android Basics: Networking,https://www.udacity.com/course/android-basics-networking--ud843
,School of Development,"['Asser Samak', 'James Williams']",Android Developer,intermediate,"['Object Oriented Programming, ', 'Java, ', 'User Interaction']","This course will introduce you to some of the most powerful programming concepts in Java, including: objects, inheritance and collections. You will learn how to use these object-oriented programming concepts in code examples, discover how these concepts are used in applications that require user input, and understand the benefits of mastering these concepts in Java., By the end of the course, you will create your own game, understand how and when to apply foundational Java concepts, and will gain a deeper understanding of the tools and logic that professional Java developers use everyday. You will also have the Java programming foundations you need to take our Android Developer Nanodegree program.",Object Oriented Programming in Java,https://www.udacity.com/course/object-oriented-programming-in-java--ud283
Collaboration WithGoogle,School of Development,"['Aleks Haecky', 'Sean McQuillan', 'Asser Samak']",Android Developer,intermediate,,"Learn the essentials of the Kotlin programming language from Kotlin experts at Google. Kotlin is a modern and concise JVM language that supports functional programming paradigms. Whether you’re a Java developer or a programmer in another object-oriented language, this course will teach you the essential language features that has made Kotlin so popular with developers. By the end of this course, you’ll gain the skills you need to build your next project in Kotlin. ",Kotlin Bootcamp for Programmers,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011
Collaboration WithGoogle,School of Development,['Richard Kalehoff'],Front-End Web Developer,advanced,"['Single Page Applications, ', 'Building Angular apps, ', 'Building Ember apps, ', ""Underscore's template function, "", 'Backbone events and routing']","Learn how to build Single Page Applications in various Front End Frameworks! In this course, you'll learn how to create both an Angular application and an Ember app from scratch., As you work through the course, you'll learn key architectural design techniques that make frameworks incredibly powerful.",Front End Frameworks,https://www.udacity.com/course/front-end-frameworks--ud894
